,White,Black | Afr American,American Indian|Alaska Native,Asian,Native Hawaiian,Other race,Hispanic|Latino (any race),Asian:Asian Indian,Asian:Chinese,Asian:Filipino,Asian:Japanese,Asian:Korean,Asian:Vietnamese,Asian:Other Asian,Hispanic|Latino: Mexican,Hispanic|Latino: Puerto Rican,Hispanic|Latino: Cuban,total_population,geoid,incident_year,Two races,gas_leaks,gas_leaks_pp
30,642.0,3181.0,30.0,16.0,0.0,2879.0,5010.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,186.0,2075.0,0.0,7067.0,36005006200,2013,319.0,42,0.00594311589075987
31,503.0,1572.0,27.0,221.0,0.0,1388.0,2309.0,0.0,6.0,0.0,0.0,36.0,0.0,179.0,266.0,1016.0,41.0,3825.0,36005006400,2013,114.0,7,0.001830065359477124
32,927.0,2122.0,0.0,86.0,0.0,2561.0,3325.0,6.0,0.0,70.0,0.0,10.0,0.0,0.0,986.0,1100.0,0.0,5725.0,36005006500,2013,29.0,13,0.0022707423580786024
33,1380.0,2791.0,173.0,19.0,0.0,3238.0,5701.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1567.0,1140.0,82.0,7617.0,36005006700,2013,16.0,16,0.002100564526716555
34,275.0,1309.0,0.0,96.0,0.0,975.0,1524.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,592.0,88.0,2702.0,36005006800,2013,47.0,16,0.005921539600296078
35,1095.0,3266.0,63.0,118.0,0.0,2560.0,4574.0,3.0,0.0,0.0,5.0,0.0,0.0,110.0,579.0,2330.0,26.0,7199.0,36005006900,2013,97.0,11,0.001527989998610918
36,773.0,1427.0,95.0,279.0,0.0,2025.0,3039.0,86.0,65.0,0.0,0.0,0.0,0.0,128.0,626.0,1267.0,13.0,4639.0,36005007000,2013,40.0,3,0.0006466910972192282
37,386.0,1089.0,16.0,6.0,0.0,759.0,1429.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,771.0,21.0,2294.0,36005007100,2013,38.0,3,0.0013077593722755016
38,1108.0,1141.0,0.0,1255.0,0.0,1933.0,3110.0,226.0,139.0,0.0,0.0,45.0,0.0,845.0,467.0,1221.0,46.0,5735.0,36005007200,2013,298.0,8,0.0013949433304272015
39,738.0,1265.0,4.0,0.0,0.0,1530.0,2291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,945.0,35.0,3543.0,36005007300,2013,6.0,4,0.0011289867344058708
40,852.0,1368.0,0.0,40.0,0.0,1517.0,2478.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,52.0,1467.0,0.0,3840.0,36005007400,2013,63.0,7,0.0018229166666666667
41,727.0,1645.0,0.0,13.0,0.0,2086.0,3091.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,109.0,1574.0,52.0,4511.0,36005007500,2013,40.0,29,0.006428729771669253
42,960.0,1943.0,73.0,226.0,0.0,2000.0,3561.0,164.0,0.0,0.0,0.0,0.0,0.0,62.0,762.0,1256.0,96.0,5385.0,36005007600,2013,183.0,7,0.0012999071494893225
43,356.0,427.0,14.0,0.0,0.0,1038.0,1418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,744.0,6.0,1842.0,36005007700,2013,7.0,11,0.005971769815418024
44,1302.0,1122.0,0.0,743.0,0.0,3064.0,4876.0,196.0,254.0,0.0,0.0,0.0,150.0,143.0,1486.0,2236.0,0.0,6270.0,36005007800,2013,39.0,5,0.0007974481658692185
45,1520.0,1921.0,0.0,0.0,0.0,2538.0,4631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.0,1996.0,0.0,6017.0,36005007900,2013,38.0,16,0.002659132458035566
46,793.0,2108.0,10.0,0.0,26.0,2554.0,4251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,1843.0,24.0,5539.0,36005008300,2013,48.0,16,0.0028886080519949448
47,344.0,823.0,41.0,31.0,0.0,1138.0,1520.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,44.0,803.0,49.0,2415.0,36005008400,2013,38.0,4,0.0016563146997929607
48,768.0,1207.0,0.0,66.0,23.0,3783.0,4851.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,456.0,2100.0,52.0,5904.0,36005008500,2013,57.0,10,0.0016937669376693768
49,936.0,857.0,0.0,86.0,0.0,1536.0,2707.0,0.0,0.0,0.0,0.0,11.0,75.0,0.0,0.0,1906.0,10.0,3452.0,36005008600,2013,37.0,32,0.009269988412514484
50,835.0,1417.0,0.0,0.0,0.0,3829.0,4817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,1655.0,14.0,6113.0,36005008700,2013,32.0,7,0.0011451006052674627
51,678.0,734.0,16.0,9.0,0.0,1722.0,2830.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,331.0,1622.0,0.0,3324.0,36005008900,2013,165.0,3,0.0009025270758122744
52,1371.0,1138.0,7.0,232.0,0.0,1269.0,2905.0,184.0,42.0,6.0,0.0,0.0,0.0,0.0,0.0,1796.0,0.0,4017.0,36005009000,2013,0.0,3,0.0007468259895444362
53,686.0,906.0,9.0,569.0,0.0,2932.0,3396.0,117.0,164.0,10.0,7.0,0.0,0.0,271.0,666.0,1589.0,80.0,5184.0,36005009200,2013,82.0,8,0.0015432098765432098
54,1779.0,1931.0,26.0,0.0,0.0,2396.0,4865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,2700.0,100.0,6245.0,36005009300,2013,113.0,22,0.003522818254603683
55,430.0,520.0,0.0,374.0,0.0,1092.0,1457.0,185.0,0.0,54.0,0.0,0.0,0.0,135.0,42.0,837.0,79.0,2462.0,36005009600,2013,46.0,2,0.0008123476848090983
56,1423.0,1552.0,0.0,149.0,0.0,1629.0,3284.0,0.0,8.0,15.0,10.0,43.0,0.0,73.0,7.0,2248.0,122.0,4849.0,36005009800,2013,96.0,9,0.001856052794390596
57,0.0,0.0,0.0,0.0,0.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,140.0,36005011000,2013,0.0,7,0.05
58,1515.0,1611.0,14.0,27.0,0.0,1206.0,3230.0,0.0,17.0,10.0,0.0,0.0,0.0,0.0,214.0,1494.0,77.0,4390.0,36005011502,2013,17.0,8,0.001822323462414579
59,588.0,565.0,0.0,18.0,0.0,364.0,1092.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,31.0,703.0,43.0,1541.0,36005011700,2013,6.0,5,0.003244646333549643
60,4339.0,81.0,0.0,119.0,0.0,481.0,886.0,11.0,37.0,34.0,0.0,28.0,0.0,9.0,0.0,357.0,31.0,5041.0,36005011800,2013,21.0,1,0.00019837333862328903
61,619.0,1867.0,0.0,0.0,11.0,3038.0,3966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,1520.0,10.0,5640.0,36005011900,2013,105.0,2,0.0003546099290780142
62,375.0,1036.0,0.0,9.0,0.0,1619.0,2239.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,466.0,750.0,16.0,3069.0,36005012101,2013,30.0,7,0.002280873248615184
63,262.0,301.0,0.0,15.0,0.0,958.0,1257.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,713.0,22.0,1536.0,36005012102,2013,0.0,2,0.0013020833333333333
64,298.0,1245.0,39.0,0.0,0.0,2121.0,2587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,1067.0,0.0,3703.0,36005012300,2013,0.0,12,0.0032406157169862274
65,411.0,1304.0,88.0,0.0,0.0,1946.0,2620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,1282.0,72.0,3872.0,36005012500,2013,123.0,5,0.0012913223140495868
66,609.0,518.0,8.0,4.0,0.0,1015.0,1653.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,66.0,985.0,0.0,2190.0,36005012701,2013,36.0,9,0.00410958904109589
67,432.0,1580.0,41.0,131.0,0.0,1482.0,2212.0,36.0,22.0,0.0,0.0,0.0,0.0,73.0,39.0,1213.0,38.0,3666.0,36005012901,2013,0.0,11,0.003000545553737043
68,532.0,1919.0,8.0,73.0,0.0,2419.0,3192.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,282.0,1517.0,0.0,4993.0,36005013100,2013,42.0,8,0.0016022431403965552
69,3480.0,940.0,12.0,401.0,0.0,2406.0,3913.0,0.0,71.0,14.0,0.0,0.0,0.0,316.0,148.0,2854.0,17.0,7314.0,36005013200,2013,75.0,9,0.0012305168170631663
70,242.0,2769.0,0.0,52.0,0.0,3356.0,4136.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1179.0,188.0,6419.0,36005013300,2013,0.0,21,0.003271537622682661
71,173.0,1466.0,26.0,0.0,0.0,1558.0,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,818.0,0.0,3261.0,36005013500,2013,38.0,33,0.010119595216191352
72,2377.0,92.0,0.0,87.0,0.0,466.0,995.0,0.0,60.0,0.0,0.0,0.0,27.0,0.0,20.0,806.0,20.0,3039.0,36005013800,2013,17.0,4,0.0013162224415926294
73,895.0,1508.0,86.0,62.0,0.0,1129.0,2382.0,0.0,0.0,6.0,0.0,56.0,0.0,0.0,130.0,1064.0,9.0,3689.0,36005014100,2013,9.0,9,0.002439685551640011
74,1289.0,2281.0,164.0,30.0,0.0,1654.0,3445.0,17.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,2435.0,35.0,5489.0,36005014400,2013,71.0,40,0.0072873018764802325
75,602.0,2667.0,58.0,9.0,0.0,2533.0,3384.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1759.0,123.0,5992.0,36005014500,2013,123.0,17,0.0028371161548731644
76,601.0,4064.0,0.0,29.0,0.0,2058.0,2762.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,21.0,966.0,15.0,6773.0,36005014701,2013,21.0,20,0.002952901225454009
77,366.0,2349.0,12.0,0.0,0.0,2162.0,2919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1403.0,45.0,4915.0,36005014702,2013,26.0,1,0.0002034587995930824
78,356.0,1676.0,0.0,6.0,0.0,1846.0,2560.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,803.0,28.0,4024.0,36005014900,2013,140.0,11,0.002733598409542744
79,698.0,2668.0,0.0,0.0,34.0,2304.0,3554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,1682.0,7.0,5754.0,36005015100,2013,50.0,9,0.0015641293013555788
80,1215.0,439.0,31.0,122.0,0.0,783.0,1451.0,54.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,703.0,6.0,2623.0,36005015200,2013,33.0,4,0.0015249714067861228
81,649.0,1890.0,38.0,5.0,19.0,1158.0,2134.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,58.0,1246.0,18.0,3895.0,36005015300,2013,136.0,9,0.0023106546854942235
82,465.0,690.0,16.0,0.0,0.0,2115.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.0,694.0,0.0,3286.0,36005015500,2013,0.0,3,0.0009129640900791237
83,267.0,1266.0,84.0,80.0,0.0,1527.0,1951.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,122.0,704.0,56.0,3224.0,36005015700,2013,0.0,9,0.002791563275434243
84,765.0,126.0,0.0,38.0,0.0,222.0,466.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,0.0,1175.0,36005015800,2013,24.0,3,0.002553191489361702
85,307.0,107.0,4.0,0.0,0.0,1708.0,2134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,873.0,673.0,0.0,2144.0,36005015900,2013,18.0,3,0.0013992537313432835
86,3656.0,23.0,0.0,119.0,0.0,408.0,762.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,575.0,0.0,4283.0,36005016000,2013,77.0,4,0.0009339248190520664
87,626.0,935.0,0.0,30.0,0.0,2656.0,3450.0,0.0,0.0,0.0,13.0,9.0,0.0,8.0,22.0,1060.0,0.0,4247.0,36005016100,2013,0.0,1,0.00023546032493524838
88,0.0,84.0,0.0,0.0,0.0,55.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,139.0,36005016300,2013,0.0,12,0.08633093525179858
89,60.0,643.0,0.0,13.0,0.0,391.0,674.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,66.0,375.0,11.0,1107.0,36005016500,2013,0.0,1,0.0009033423667570008
90,1291.0,159.0,0.0,209.0,0.0,491.0,917.0,84.0,32.0,26.0,0.0,0.0,0.0,67.0,14.0,586.0,44.0,2170.0,36005016600,2013,20.0,5,0.002304147465437788
91,137.0,1214.0,0.0,0.0,0.0,770.0,936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,17.0,2144.0,36005016700,2013,23.0,5,0.0023320895522388053
92,103.0,996.0,6.0,0.0,0.0,506.0,732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,262.0,60.0,1642.0,36005016900,2013,31.0,4,0.00243605359317905
93,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,36005017100,2013,0.0,4,2.0
94,1205.0,2045.0,168.0,455.0,0.0,2230.0,3825.0,347.0,12.0,0.0,0.0,87.0,0.0,9.0,226.0,1489.0,34.0,6163.0,36005017300,2013,60.0,24,0.0038942073665422685
95,519.0,2940.0,27.0,0.0,0.0,2512.0,3778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2156.0,54.0,6080.0,36005017500,2013,82.0,17,0.002796052631578948
96,242.0,1001.0,0.0,9.0,0.0,2668.0,2835.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,371.0,1519.0,0.0,3942.0,36005017701,2013,22.0,23,0.0058346017250126845
97,491.0,1768.0,0.0,0.0,0.0,2362.0,3085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,977.0,30.0,4629.0,36005017702,2013,8.0,26,0.005616763879887665
98,417.0,1670.0,63.0,0.0,0.0,876.0,1503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,529.0,0.0,3026.0,36005018101,2013,0.0,3,0.000991407799074686
99,695.0,1313.0,22.0,82.0,0.0,1817.0,2800.0,0.0,0.0,9.0,0.0,0.0,0.0,73.0,346.0,729.0,0.0,3994.0,36005018302,2013,65.0,4,0.00100150225338007
100,2528.0,167.0,0.0,75.0,0.0,936.0,1322.0,68.0,0.0,7.0,0.0,0.0,0.0,0.0,35.0,894.0,0.0,3731.0,36005018400,2013,25.0,7,0.001876172607879925
101,604.0,2854.0,38.0,7.0,0.0,3113.0,4024.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,87.0,1599.0,32.0,6672.0,36005018500,2013,56.0,20,0.0029976019184652283
102,652.0,403.0,0.0,35.0,0.0,799.0,1088.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,43.0,905.0,0.0,1889.0,36005019400,2013,0.0,5,0.0026469031233456856
103,974.0,225.0,0.0,1200.0,0.0,1600.0,2371.0,325.0,0.0,69.0,0.0,18.0,24.0,764.0,369.0,1332.0,0.0,4162.0,36005020000,2013,163.0,9,0.002162421912542047
104,292.0,429.0,134.0,603.0,0.0,752.0,1109.0,84.0,58.0,53.0,0.0,0.0,11.0,397.0,93.0,739.0,28.0,2242.0,36005020200,2013,32.0,7,0.0031222123104371093
105,673.0,372.0,0.0,532.0,0.0,1412.0,2101.0,187.0,65.0,154.0,0.0,0.0,0.0,126.0,101.0,857.0,0.0,3051.0,36005020400,2013,62.0,3,0.0009832841691248774
106,423.0,857.0,15.0,728.0,0.0,787.0,1358.0,453.0,45.0,0.0,0.0,0.0,0.0,230.0,153.0,740.0,0.0,2839.0,36005020601,2013,29.0,6,0.0021134202183867557
107,818.0,5505.0,0.0,614.0,0.0,1996.0,3019.0,0.0,59.0,0.0,0.0,0.0,0.0,555.0,75.0,1678.0,0.0,9155.0,36005021001,2013,222.0,22,0.0024030584380120147
108,639.0,3555.0,0.0,921.0,0.0,840.0,1469.0,79.0,0.0,20.0,0.0,7.0,0.0,815.0,0.0,957.0,0.0,6138.0,36005021002,2013,183.0,3,0.0004887585532746823
109,615.0,2206.0,0.0,1100.0,0.0,1330.0,1845.0,102.0,0.0,19.0,0.0,65.0,0.0,914.0,0.0,1709.0,0.0,5381.0,36005021200,2013,130.0,4,0.0007433562534844826
110,1070.0,930.0,0.0,270.0,0.0,1771.0,2656.0,154.0,48.0,10.0,0.0,9.0,0.0,49.0,359.0,1225.0,37.0,4050.0,36005021601,2013,9.0,11,0.002716049382716049
111,818.0,2696.0,129.0,1475.0,0.0,877.0,2112.0,595.0,0.0,66.0,0.0,0.0,0.0,814.0,11.0,1442.0,14.0,6071.0,36005021602,2013,76.0,7,0.0011530225662987974
112,623.0,1689.0,14.0,388.0,0.0,3041.0,3646.0,224.0,19.0,0.0,0.0,0.0,0.0,145.0,376.0,1710.0,45.0,5837.0,36005021800,2013,82.0,19,0.003255096796299469
113,206.0,437.0,8.0,0.0,0.0,911.0,1157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,268.0,0.0,1562.0,36005022000,2013,0.0,8,0.005121638924455826
114,610.0,708.0,75.0,551.0,0.0,1144.0,1824.0,123.0,155.0,41.0,0.0,0.0,0.0,232.0,147.0,1036.0,7.0,3137.0,36005022200,2013,49.0,11,0.003506534905961109
115,772.0,503.0,32.0,224.0,0.0,1055.0,1511.0,19.0,44.0,85.0,0.0,0.0,0.0,76.0,440.0,436.0,16.0,2595.0,36005022401,2013,9.0,6,0.0023121387283237
116,1279.0,430.0,23.0,92.0,0.0,1439.0,2001.0,25.0,0.0,16.0,0.0,0.0,0.0,51.0,296.0,830.0,0.0,3281.0,36005022403,2013,18.0,14,0.004266991770801585
117,1557.0,706.0,0.0,137.0,0.0,1466.0,1757.0,38.0,0.0,0.0,0.0,0.0,0.0,99.0,14.0,791.0,141.0,3990.0,36005022404,2013,124.0,6,0.001503759398496241
118,1493.0,2710.0,31.0,0.0,0.0,3843.0,5499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1112.0,1106.0,12.0,8205.0,36005022500,2013,128.0,1,0.0001218769043266301
119,1642.0,938.0,61.0,1128.0,0.0,2515.0,3314.0,201.0,55.0,0.0,0.0,0.0,270.0,602.0,794.0,1316.0,0.0,6338.0,36005022800,2013,54.0,8,0.0012622278321236984
120,466.0,1549.0,100.0,278.0,0.0,2278.0,3225.0,72.0,0.0,0.0,0.0,0.0,0.0,206.0,367.0,695.0,15.0,4721.0,36005022901,2013,50.0,1,0.00021181952976064396
121,525.0,1174.0,18.0,9.0,0.0,1507.0,2265.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,51.0,703.0,39.0,3263.0,36005022902,2013,30.0,11,0.003371130861170702
122,1215.0,286.0,39.0,262.0,0.0,1492.0,2196.0,58.0,92.0,24.0,0.0,0.0,79.0,9.0,154.0,711.0,102.0,3294.0,36005023000,2013,0.0,9,0.00273224043715847
123,260.0,793.0,7.0,0.0,0.0,398.0,832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,7.0,1472.0,36005023100,2013,14.0,2,0.001358695652173913
124,788.0,233.0,17.0,228.0,22.0,1371.0,1725.0,34.0,18.0,160.0,0.0,0.0,16.0,0.0,229.0,651.0,34.0,2731.0,36005023200,2013,72.0,5,0.001830831197363603
125,640.0,657.0,0.0,12.0,0.0,1758.0,2549.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,535.0,15.0,3090.0,36005023302,2013,23.0,2,0.0006472491909385112
126,934.0,1132.0,13.0,88.0,0.0,2430.0,3611.0,13.0,0.0,68.0,0.0,0.0,0.0,7.0,237.0,696.0,0.0,4633.0,36005023502,2013,36.0,11,0.002374271530325923
127,90.0,251.0,12.0,0.0,0.0,881.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0,228.0,0.0,1283.0,36005023702,2013,49.0,1,0.000779423226812159
128,547.0,1016.0,74.0,92.0,0.0,2882.0,3811.0,85.0,7.0,0.0,0.0,0.0,0.0,0.0,717.0,1341.0,15.0,4869.0,36005023703,2013,258.0,3,0.0006161429451632778
129,591.0,1163.0,54.0,9.0,0.0,1802.0,2728.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,83.0,822.0,19.0,3631.0,36005023704,2013,12.0,7,0.0019278435692646652
130,633.0,401.0,0.0,19.0,0.0,1401.0,1721.0,6.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,939.0,19.0,2465.0,36005023800,2013,11.0,1,0.00040567951318458417
131,776.0,2063.0,162.0,145.0,0.0,4784.0,5972.0,120.0,25.0,0.0,0.0,0.0,0.0,0.0,1251.0,1728.0,9.0,7967.0,36005023900,2013,37.0,12,0.0015062131291577758
132,819.0,612.0,0.0,4.0,0.0,2140.0,2760.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,1192.0,134.0,3654.0,36005024000,2013,79.0,4,0.0010946907498631637
133,623.0,1871.0,236.0,58.0,0.0,3195.0,4467.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,1590.0,15.0,6133.0,36005024100,2013,150.0,4,0.0006522093592043046
